name,number_votes,share_votes,district,affiliation
Hajdu László,23212,42.25 %,Budapest XV. kerület,DK
Pataki Márton,0,0.0 %,Budapest III. kerület,EGYÜTT
Póznik György Csaba,139,0.25 %,Budapest III. kerület,IRÁNYTŰ
Zsiga-Kárpát Dániel,6070,10.82 %,Budapest III. kerület,JOBBIK
Petővári Rolland,127,0.23 %,Budapest III. kerület,HAJRÁ MAGYARORSZÁG!
Papp László Árpád,141,0.25 %,Budapest III. kerület,LENDÜLETTEL
Menczer Erzsébet,20403,36.36 %,Budapest III. kerület,FIDESZ-KDNP
Szabó Timea,27017,48.15 %,Budapest III. kerület,MSZP-PÁRBESZÉD
Donáth Anna Júlia,2213,3.94 %,Budapest III. kerület,MOMENTUM
Dr. Ábrahám Júlia,0,0.0 %,Budapest III. kerület,LMP
Horváth Imre,1332,2.34 %,Budapest IV. kerület,Független jelölt
Galyas István,59,0.1 %,Budapest IV. kerület,KÖSSZ
Dr. Zsigmond Barna Pál,20080,35.26 %,Budapest IV. kerület,FIDESZ-KDNP
Mónus Katalin,87,0.15 %,Budapest IV. kerület,KÖZÖS NEVEZŐ
Horváth József,36,0.06 %,Budapest IV. kerület,MCP
Kanász-Nagy Máté,3459,6.07 %,Budapest IV. kerület,LMP
Sedon Béla,117,0.21 %,Budapest IV. kerület,SEM
Varju László,23238,40.8 %,Budapest IV. kerület,DK
Hegedűs Lóránt Gézáné,5826,10.23 %,Budapest IV. kerület,JOBBIK
Stefán Réka Anett,0,0.0 %,Budapest IV. kerület,HAM
Agócs János,25,0.04 %,Budapest IV. kerület,TENNI AKARÁS MOZGALOM
Derecskei Magdolna,33,0.06 %,Budapest IV. kerület,REND PÁRT
Gulyás Lászlóné,33,0.06 %,Budapest IV. kerület,HAJRÁ MAGYARORSZÁG!
Molnár Tibor,1278,2.24 %,Budapest IV. kerület,MOMENTUM
Fehérvári Zsolt István,188,0.33 %,Budapest IV. kerület,MUNKÁSPÁRT
Vinter Andrea,0,0.0 %,Budapest IV. kerület,EMMO
Fuglovics-Hedvicsek Sándor,35,0.06 %,Budapest IV. kerület,OP
Paizs Miklós,1064,1.87 %,Budapest IV. kerület,MKKP
Mészárosné Pércsi Anita,66,0.12 %,Budapest IV. kerület,MIÉP
Szücs Attila,1771,3.02 %,Budapest XIV. kerület,MOMENTUM
Szávay István,4492,7.65 %,Budapest XIV. kerület,JOBBIK
Szentpáli Kolos,209,0.36 %,Budapest XIV. kerület,MUNKÁSPÁRT
Barta János,2410,4.1 %,Budapest XIV. kerület,LMP
Dr. Jelen Tamás,20588,35.06 %,Budapest XIV. kerület,FIDESZ-KDNP
Tóth Csaba,27736,47.23 %,Budapest XIV. kerület,MSZP-PÁRBESZÉD
Victora Zsolt,1518,2.58 %,Budapest XIV. kerület,MKKP
Kara Sándor,58,0.11 %,Budapest X. kerület,IRÁNYTŰ
Pálfi Margit Erzsébet,81,0.15 %,Budapest X. kerület,KÖZÖS NEVEZŐ
Dr. György István,21222,39.32 %,Budapest X. kerület,FIDESZ-KDNP
Tölcsér Borbála,1139,2.11 %,Budapest X. kerület,MOMENTUM
Závoczki Tibor,114,0.21 %,Budapest X. kerület,MIÉP
Burány Sándor,22010,40.78 %,Budapest X. kerület,MSZP-PÁRBESZÉD
Kerezsi László,223,0.41 %,Budapest X. kerület,MUNKÁSPÁRT
Postásné Balázs Ildikó Ilona,34,0.06 %,Budapest X. kerület,LENDÜLETTEL
Tubák István,5437,10.07 %,Budapest X. kerület,JOBBIK
Demeter Márta,3522,6.53 %,Budapest X. kerület,LMP
Kovács Csaba,68,0.13 %,Budapest X. kerület,NEMZET ÉS BÉKE
Lantos Tivadar,68,0.13 %,Budapest X. kerület,HAJRÁ MAGYARORSZÁG!
Hiszékeny Dezső,33412,56.48 %,Budapest XIII. kerület,MSZP-PÁRBESZÉD
Sebő Ferenc,1337,2.26 %,Budapest XIII. kerület,MKKP
Kerékgyártó István,2447,4.14 %,Budapest XIII. kerület,LMP
Hajnal Miklós,1520,2.57 %,Budapest XIII. kerület,MOMENTUM
Harrach Tamás,16854,28.49 %,Budapest XIII. kerület,FIDESZ-KDNP
Magvasi Adrián,3591,6.07 %,Budapest XIII. kerület,JOBBIK
Juhász Veronika,1044,1.8 %,Budapest II. kerület,MKKP
Ungár Péter,5848,10.1 %,Budapest II. kerület,LMP
Mihalik Zoltán,0,0.0 %,Budapest II. kerület,EGYÜTT
Arató István,167,0.29 %,Budapest II. kerület,MUNKÁSPÁRT
Benedek Márton,1538,2.66 %,Budapest II. kerület,MOMENTUM
Varga Mihály,24208,41.82 %,Budapest II. kerület,FIDESZ-KDNP
Kovács Tamás,3585,6.19 %,Budapest II. kerület,JOBBIK
Niedermüller Péter,21496,37.14 %,Budapest II. kerület,DK
Dr. Oláh Lajos,20598,45.85 %,Budapest VII. kerület,DK
Moldován László,3055,6.8 %,Budapest VII. kerület,LMP
Dr. Bokros Lajos,0,0.0 %,Budapest VII. kerület,MODERN MAGYARORSZÁG MOZGALOM (MOMA)
Dr. Bajkai István,16687,37.14 %,Budapest VII. kerület,FIDESZ-KDNP
Döme Zsuzsanna,1414,3.15 %,Budapest VII. kerület,MKKP
Soproni Tamás,0,0.0 %,Budapest VII. kerület,MOMENTUM
Stummer János,3171,7.06 %,Budapest VII. kerület,JOBBIK
Jakabfy Tamás,2582,5.56 %,Budapest VIII. kerület,LMP
Mischinger Péterné,0,0.0 %,Budapest VIII. kerület,KÖZÖS NEVEZŐ
Baranyi Krisztina,1454,3.13 %,Budapest VIII. kerület,EGYÜTT
Jakab Tamás,105,0.23 %,Budapest VIII. kerület,MIÉP
Konczos László József,222,0.48 %,Budapest VIII. kerület,MUNKÁSPÁRT
Dr. Cseh Katalin,1190,2.56 %,Budapest VIII. kerület,MOMENTUM
Dúró Dóra,6001,12.92 %,Budapest VIII. kerület,JOBBIK
Schauber Krisztina,39,0.08 %,Budapest VIII. kerület,KÖSSZ
Dr. Suda Dezső,33,0.07 %,Budapest VIII. kerület,IRÁNYTŰ
Racskó Gábor,1065,2.29 %,Budapest VIII. kerület,MKKP
Ara-Kovács Attila,14947,32.17 %,Budapest VIII. kerület,DK
Kocsis Máté,18818,40.51 %,Budapest VIII. kerület,FIDESZ-KDNP
Németh Szilveszter,276,0.6 %,Kiskunhalas,Független jelölt
Molnár László,2685,5.87 %,Kiskunhalas,DK
Burai Martin,0,0.0 %,Kiskunhalas,KEDN
Radics Károly,57,0.12 %,Kiskunhalas,KÖSSZ
Midi Melánia,1059,2.32 %,Kiskunhalas,LMP
Bányai Gábor,25535,55.85 %,Kiskunhalas,FIDESZ-KDNP
Kolompár Titanilla,0,0.0 %,Kiskunhalas,TENNI AKARÁS MOZGALOM
Farkas Gergely,15219,33.28 %,Kiskunhalas,JOBBIK
Tián Pál László,34,0.07 %,Kiskunhalas,ÉRTÜNK ÉRTETEK
Szabadi István,244,0.53 %,Kiskunhalas,ÚMF
Balla Ivett,149,0.33 %,Kiskunhalas,SEM
Takács Zoltán,466,1.02 %,Kiskunhalas,MOMENTUM
Bényi Hajnal,0,0.0 %,Budapest XII. kerület,EGYÜTT
Gyöngyösi Márton,3142,5.79 %,Budapest XII. kerület,JOBBIK
Kovács Gergely,1530,2.82 %,Budapest XII. kerület,MKKP
Gulyás Gergely,23173,42.71 %,Budapest XII. kerület,FIDESZ-KDNP
Kádár Barnabás Áron,1449,2.67 %,Budapest XII. kerület,MOMENTUM
Bauer Tamás,21176,39.03 %,Budapest XII. kerület,DK
Hajdu Mária,3787,6.98 %,Budapest XII. kerület,LMP
Benyovszky Gábor,248,0.45 %,Budapest XI. kerület,MUNKÁSPÁRT
Fischer Roland,990,1.78 %,Budapest XI. kerület,MKKP
Kreitler-Sas Máté,3384,6.1 %,Budapest XI. kerület,LMP
Gy. Németh Erzsébet,22494,40.53 %,Budapest XI. kerület,DK
Dr. Simicskó István,23403,42.16 %,Budapest XI. kerület,FIDESZ-KDNP
Dr. Bardócz-Tódor András,3252,5.86 %,Budapest XI. kerület,JOBBIK
Bedő Dávid,1540,2.77 %,Budapest XI. kerület,MOMENTUM
Kóber György,0,0.0 %,Budapest XI. kerület,EGYÜTT
Petre-Varga Fruzsina Zsuzsanna,195,0.35 %,Budapest XI. kerület,SEM
Horváth Tamás,5855,12.15 %,Kiskunfélegyháza,MSZP-PÁRBESZÉD
Kiss Viktor,84,0.17 %,Kiskunfélegyháza,MIÉP
Gál László Szabolcs,61,0.13 %,Kiskunfélegyháza,MEDETE PÁRT
Szimandl Noémi,247,0.51 %,Kiskunfélegyháza,CSP
Tabajdi Péter,545,1.13 %,Kiskunfélegyháza,MOMENTUM
Lezsák Sándor,29025,60.21 %,Kiskunfélegyháza,FIDESZ-KDNP
Kollár László,10166,21.09 %,Kiskunfélegyháza,JOBBIK
Borbásné Keresztes Márta,96,0.2 %,Kiskunfélegyháza,MUNKÁSPÁRT
Bodor Sándor,678,1.41 %,Kiskunfélegyháza,MKKP
Kis-Szeniczey Kálmán,1410,2.92 %,Kiskunfélegyháza,LMP
Gál Róbert Zoltán,40,0.08 %,Kiskunfélegyháza,ÖSSZEFOGÁS PÁRT
Pillér Zsolt Márton,70,0.13 %,Balatonfüred,HAZA MINDENKIÉ
Molnár Richárdné,69,0.13 %,Balatonfüred,TENNI AKARÁS MOZGALOM
Bodroghalmi Gábor Alfréd,417,0.8 %,Balatonfüred,CSP
Ságodi Zoltán,0,0.0 %,Balatonfüred,LMP
Gulyás Lászlóné,94,0.18 %,Balatonfüred,KÖSSZ
Csonnó Jenőné,112,0.22 %,Balatonfüred,DEMOKRATA PÁRT
Kepli Lajos,17735,34.16 %,Balatonfüred,JOBBIK
Kocsis Erika,128,0.25 %,Balatonfüred,ÉBMP
Csopják Tamás,83,0.16 %,Balatonfüred,ÉRTÜNK ÉRTETEK
Felczán Erzsébet,79,0.15 %,Balatonfüred,ÖSSZEFOGÁS PÁRT
Szolga-László Szindi Márta,23,0.04 %,Balatonfüred,NEMZET ÉS BÉKE
Deák Istvánné,5473,10.54 %,Balatonfüred,DK
Kontrát Károly,26280,50.63 %,Balatonfüred,FIDESZ-KDNP
Kiss László,1276,2.46 %,Balatonfüred,MOMENTUM
Szirbek Lászlóné,71,0.14 %,Balatonfüred,OP
Dr. Varga-Damm Andrea,7054,13.27 %,Veszprém,JOBBIK
Ovádi Péter,25920,48.75 %,Veszprém,FIDESZ-KDNP
Szimmer Ákos,818,1.54 %,Veszprém,MKKP
Kész Zoltán,16688,31.39 %,Veszprém,Független jelölt
Nagy Éva,130,0.24 %,Veszprém,ÖSSZEFOGÁS PÁRT
Dr. Meződi János,744,1.4 %,Veszprém,MOMENTUM
Hites Viktor,1811,3.41 %,Veszprém,LMP
Várnai Balázs,242,0.47 %,Keszthely,FKGP
Temesváry Tibor,2115,4.1 %,Keszthely,LMP
Csontos Gábor,351,0.68 %,Keszthely,EGYÜTT
Dr. Weller-Jakus Tamás,14595,28.31 %,Keszthely,JOBBIK
Kovács Viktória,4245,8.23 %,Keszthely,DK
Bogdán László,39,0.08 %,Keszthely,ECDP
Bogdán Sándor,38,0.07 %,Keszthely,KÖSSZ
Kun Éva,78,0.15 %,Keszthely,HAJRÁ MAGYARORSZÁG!
Elekes István,1095,2.12 %,Keszthely,MOMENTUM
Manninger Jenő,28617,55.51 %,Keszthely,FIDESZ-KDNP
Rába Gábor,140,0.27 %,Keszthely,SZEM PÁRT
Sütő Dávid,96,0.19 %,Nagykanizsa,EP
Zakó László,17840,34.6 %,Nagykanizsa,JOBBIK
Dr. Polónyi Tamás,751,1.46 %,Nagykanizsa,MOMENTUM
Hollender-Lukács Anett,209,0.41 %,Nagykanizsa,CSP
Szilveszter Nikolett,22,0.04 %,Nagykanizsa,ECDP
Piskor Zoltán,82,0.16 %,Nagykanizsa,ÖSSZEFOGÁS PÁRT
Horváth Jácint,5136,9.96 %,Nagykanizsa,DK
Hozbor Ádám,56,0.11 %,Nagykanizsa,SZEM PÁRT
Orsós László,50,0.1 %,Nagykanizsa,MCP
Dolmányos Szilárd József,152,0.29 %,Nagykanizsa,KÖSSZ
Gayer András,18,0.03 %,Nagykanizsa,NOP
Bogdán Dániel,50,0.1 %,Nagykanizsa,EU.ROM
Dr. Károlyi Attila József,1863,3.61 %,Nagykanizsa,LMP
Cseresnyés Péter,25161,48.79 %,Nagykanizsa,FIDESZ-KDNP
Hollender Szabolcs,81,0.16 %,Nagykanizsa,MEDETE PÁRT
Pavlovics Márk,576,1.18 %,Tapolca,MKKP
Molnár Edina,35,0.07 %,Tapolca,ÖSSZEFOGÁS PÁRT
Gyécsek Ildikó,52,0.11 %,Tapolca,SZEM PÁRT
Horváth Magdolna,0,0.0 %,Tapolca,MIÉP
Kárpáti Lajos,3992,8.2 %,Tapolca,MSZP-PÁRBESZÉD
Hajós Erika Ibolya,87,0.18 %,Tapolca,MUNKÁSPÁRT
Fenyvesi Zoltán,22838,46.91 %,Tapolca,FIDESZ-KDNP
Winkelbauer Klára,40,0.08 %,Tapolca,MEDETE PÁRT
Király Jonatán,10,0.02 %,Tapolca,IMA
Bajcsy Bálint Endre,130,0.27 %,Tapolca,CSP
Rig Lajos,19748,40.56 %,Tapolca,JOBBIK
Csonka Gergő,70,0.14 %,Tapolca,HAJRÁ MAGYARORSZÁG!
Takács Lajos,1107,2.27 %,Tapolca,LMP
Hozbor Aliz,169,0.29 %,Zalaegerszeg,SZEM PÁRT
Benke Richárd,12616,21.89 %,Zalaegerszeg,JOBBIK
Góra Balázs,8895,15.43 %,Zalaegerszeg,MSZP-PÁRBESZÉD
Dr. Paksy Zoltán,2918,5.06 %,Zalaegerszeg,LMP
Eiles Éva,22,0.04 %,Zalaegerszeg,ECDP
Fodor Zsolt,912,1.58 %,Zalaegerszeg,MOMENTUM
Huszár Tamás Imre,58,0.1 %,Zalaegerszeg,IRÁNYTŰ
Karádi Lajosné,63,0.11 %,Zalaegerszeg,TAMP
Kiss Ferenc,1490,2.59 %,Zalaegerszeg,Független jelölt
Forgács Adolfné,60,0.1 %,Zalaegerszeg,MCP
Vigh László,30433,52.8 %,Zalaegerszeg,FIDESZ-KDNP
Tomán Attila,1063,2.17 %,Pápa,LMP
Sándor Endre Géza,94,0.19 %,Pápa,OP
Dr. Kovács Zoltán,28557,58.34 %,Pápa,FIDESZ-KDNP
Iker Áron,411,0.84 %,Pápa,MOMENTUM
Kónya Krisztián Zsolt,24,0.05 %,Pápa,ÖSSZEFOGÁS PÁRT
Gyécsek Dávid,63,0.13 %,Pápa,SZEM PÁRT
Rákóczi Zoltán,35,0.07 %,Pápa,MAGYARORSZÁGÉRT DEMOKRATIKUS PÁRT
Mészáros Róbert,0,0.0 %,Pápa,HAM
Királyné Ferencz Ildikó,25,0.05 %,Pápa,IMA
Orsós Zsolt,41,0.08 %,Pápa,IRÁNYTŰ
Csomai Ildikó,150,0.31 %,Pápa,CSP
Rákóczi Richárd,13,0.03 %,Pápa,JÓ ÚT MPP
Töreki Milán,11914,24.34 %,Pápa,JOBBIK
Kohn Péter,0,0.0 %,Pápa,SEM
Markos Róbertné,39,0.08 %,Pápa,MCP
Gőgös Zoltán,6519,13.32 %,Pápa,MSZP-PÁRBESZÉD
Mészáros Anetta Anikó,34,0.07 %,Körmend,REND PÁRT
Sinka Vivien Karolin,30,0.06 %,Körmend,MEDETE PÁRT
Asztalos Zsolt Károly,54,0.11 %,Körmend,HAJRÁ MAGYARORSZÁG!
Dévényi Attila,15,0.03 %,Körmend,TAMP
Bogáti András,1526,3.13 %,Körmend,LMP
Egri Zsoltné,19,0.04 %,Körmend,ÉRTÜNK ÉRTETEK
Holtai Imre,45,0.09 %,Körmend,KÖSSZ
Baloghné Farkas Szidónia Magdolna,32,0.07 %,Körmend,MCP
Dr. Sinkáné Vati Júlia,187,0.38 %,Körmend,CSP
Bazsó Ferencné,39,0.08 %,Körmend,KÖZÖS NEVEZŐ
Kiss Roland József,0,0.0 %,Körmend,HAM
Somogyi Dávid,0,0.0 %,Körmend,EMMO
V.Németh Zsolt,30970,63.52 %,Körmend,FIDESZ-KDNP
Gerencsér Mária,506,1.04 %,Körmend,MOMENTUM
Sütő János Zoltán,41,0.08 %,Körmend,EP
Balogh Tibor,2093,4.29 %,Körmend,DK
Beke Balázs,48,0.1 %,Körmend,SZEM PÁRT
Darcsi Natália,19,0.04 %,Körmend,ÖSSZEFOGÁS PÁRT
Hersics Gyula,30,0.06 %,Körmend,MAGYARORSZÁGÉRT DEMOKRATIKUS PÁRT
Bana Tibor,13072,26.81 %,Körmend,JOBBIK
Kovács Irma Tünde,125,0.3 %,Szekszárd,MISZEP
Pál Erika,0,0.0 %,Szekszárd,HAM
Rácz Norbert,0,0.0 %,Szekszárd,MOMENTUM
Horváth István,21477,51.56 %,Szekszárd,FIDESZ-KDNP
Farkas Gabriella,159,0.38 %,Szekszárd,MODERN MAGYARORSZÁG MOZGALOM (MOMA)
Tasch Ferenc,41,0.1 %,Szekszárd,IMA
Dr. Harangozó Tamás,0,0.0 %,Szekszárd,MSZP-PÁRBESZÉD
Dr. Hadházy Ákos,14896,35.76 %,Szekszárd,LMP
Nagy Sándor,0,0.0 %,Szekszárd,KÖSSZ
Burai Ferenc,62,0.15 %,Szekszárd,IRÁNYTŰ
Pál László,137,0.33 %,Szekszárd,SEM
Szabó Balázs,3899,9.36 %,Szekszárd,JOBBIK
Nagy József,256,0.61 %,Szekszárd,ÚMF
Pesti Vendel,601,1.44 %,Szekszárd,MKKP
Vágner Gabriella,31,0.06 %,Szombathely,NP
Szakály Gábor,69,0.13 %,Szombathely,HAJRÁ MAGYARORSZÁG!
Horváth Csaba,23,0.04 %,Szombathely,MCP
Bazsó Sándor János,34,0.07 %,Szombathely,KÖZÖS NEVEZŐ
Balassa Péter,6576,12.58 %,Szombathely,JOBBIK
Szeidel Petra,23,0.04 %,Szombathely,ÖSSZEFOGÁS PÁRT
Dr. Nemény András,15950,30.52 %,Szombathely,MSZP-PÁRBESZÉD
Megyeri László,32,0.06 %,Szombathely,KÖSSZ
Dr. Hende Csaba,26086,49.92 %,Szombathely,FIDESZ-KDNP
Horváth Gábor,66,0.13 %,Szombathely,SZEM PÁRT
Németh Ákos,1854,3.55 %,Szombathely,LMP
Viszlayné Pavelkovits Petra,748,1.43 %,Szombathely,MKKP
Falta Péter,610,1.17 %,Szombathely,MOMENTUM
Fábián Balázs Pál,125,0.24 %,Szombathely,CSP
Dr. Czeglédy Csaba,0,0.0 %,Szombathely,Független jelölt
Koller Krisztián,27,0.05 %,Szombathely,MEDETE PÁRT
Tóth Béla,104,0.22 %,Nyírbátor,MIÉP
Varga József,37,0.08 %,Nyírbátor,OXIGÉN PÁRT
Balogh István,39,0.08 %,Nyírbátor,OCP
Dr. Simon Miklós,26994,56.52 %,Nyírbátor,FIDESZ-KDNP
Szkita Istvánné,38,0.08 %,Nyírbátor,REND PÁRT
Demeter Jenő,36,0.08 %,Nyírbátor,KÖSSZ
Szlovák Zoltán,15,0.03 %,Nyírbátor,NP
Rácz Irén,27,0.06 %,Nyírbátor,EMMO
Lakatos Károly,28,0.06 %,Nyírbátor,EU.ROM
Czimre József,691,1.45 %,Nyírbátor,LMP
Varga Sándor,98,0.21 %,Nyírbátor,MCP
Márton Tibor,151,0.32 %,Nyírbátor,KÖZÖS NEVEZŐ
Varga Zoltán,67,0.14 %,Nyírbátor,TENNI AKARÁS MOZGALOM
Bankus Tibor János,345,0.72 %,Nyírbátor,MOMENTUM
Dr. Veres János,9302,19.48 %,Nyírbátor,MSZP-PÁRBESZÉD
Kész Géza,9696,20.3 %,Nyírbátor,JOBBIK
Zámbó Anna,30,0.06 %,Nyírbátor,TAMP
Kiss Miklósné,59,0.12 %,Nyírbátor,IRÁNYTŰ
Jelinek Roland,216,0.42 %,Sárvár,CSP
Ágh Péter,31226,61.38 %,Sárvár,FIDESZ-KDNP
Szeidel Julianna,104,0.2 %,Sárvár,ÖSSZEFOGÁS PÁRT
Rába Kálmán,9278,18.24 %,Sárvár,JOBBIK
Dr. Horváth Attila,7110,13.98 %,Sárvár,MSZP-PÁRBESZÉD
György István Péter,1826,3.59 %,Sárvár,LMP
Barkovics Roland,88,0.17 %,Sárvár,SZEM PÁRT
Horváth Mercédesz,31,0.06 %,Sárvár,MCP
Tóth Sándor,137,0.27 %,Sárvár,MIÉP
Bazsó Ferenc,54,0.11 %,Sárvár,KÖZÖS NEVEZŐ
Kovács Attila,677,1.33 %,Sárvár,MOMENTUM
Szekeres Tamásné,56,0.11 %,Sárvár,KÖSSZ
Horváth Áron,73,0.14 %,Sárvár,MEDETE PÁRT
Janecska Zoltán,142,0.35 %,Paks,MIÉP
Fodor Judit,51,0.12 %,Paks,ÖSSZEFOGÁS PÁRT
Süli János,23605,57.78 %,Paks,FIDESZ-KDNP
Király Roland,9,0.02 %,Paks,ECDP
Ignácz Imre,22,0.05 %,Paks,ÉBMP
Demeter Krisztián,29,0.07 %,Paks,HAJRÁ MAGYARORSZÁG!
Dömötörné Solymár Orsika,1259,3.08 %,Paks,LMP
Dobosi Norbert,527,1.29 %,Paks,MOMENTUM
Janó Ferenc,19,0.05 %,Paks,NP
Pataki György,18,0.04 %,Paks,TAMP
Balázs János,23,0.06 %,Paks,KEDN
Slámer István,70,0.17 %,Paks,ÉRTÜNK ÉRTETEK
Szabados-Molnár Adrián,34,0.08 %,Paks,MISZEP
Farkas Katalin,56,0.14 %,Paks,KÖZÖS NEVEZŐ
Csingár Eszter,26,0.06 %,Paks,IRÁNYTŰ
Heringes Anita,4806,11.76 %,Paks,MSZP-PÁRBESZÉD
Szalay Levente,35,0.09 %,Paks,SZEM PÁRT
Orsós Zsolt,15,0.04 %,Paks,TENNI AKARÁS MOZGALOM
Pfeifer Roxána,0,0.0 %,Paks,HAM
Orsós Olívia,21,0.05 %,Paks,EU.ROM
Szarka Sándor,151,0.37 %,Paks,MUNKÁSPÁRT
Bencze János,9900,24.23 %,Paks,JOBBIK
Bodnár Edina,36,0.09 %,Paks,MCP
Tárkányi Sándor,864,1.79 %,Mátészalka,LMP
Tárkányi József Árpádné,35,0.07 %,Mátészalka,REND PÁRT
Budai Tiborné,130,0.27 %,Mátészalka,CSP
Magyar Péter,319,0.66 %,Mátészalka,MOMENTUM
Kovács Sándor,28294,58.55 %,Mátészalka,FIDESZ-KDNP
Dr. Apáti István,15897,32.9 %,Mátészalka,JOBBIK
Pásku Károly,163,0.34 %,Mátészalka,MUNKÁSPÁRT
Szász József,32,0.07 %,Mátészalka,A HAZA PÁRTJA
Takács Zoltán,72,0.15 %,Mátészalka,MIÉP
Szabó Erzsébet,20,0.04 %,Mátészalka,NP
Szabó Tünde,97,0.2 %,Mátészalka,MEDETE PÁRT
Horváth Antal,23,0.05 %,Mátészalka,TENNI AKARÁS MOZGALOM
Schachinger Zsolt,79,0.16 %,Mátészalka,KÖZÖS NEVEZŐ
Gellért Sándor,28,0.06 %,Mátészalka,ÖSSZEFOGÁS PÁRT
Kukucska György,104,0.22 %,Mátészalka,MMM
Baloghné Csáki Renáta,19,0.04 %,Mátészalka,TAMP
Csomáliné Rácz Erika,2032,4.2 %,Mátészalka,DK
Ponczók Lajos,9,0.02 %,Mátészalka,EMMO
Ponczók István,54,0.11 %,Mátészalka,MISZEP
Lakatos Miklós,55,0.11 %,Mátészalka,EU.ROM
Horváth Józsefné,39,0.1 %,Dombóvár,ECDP
Bese Mátyás,22,0.05 %,Dombóvár,HAM
Fehér Imre,38,0.09 %,Dombóvár,IMA
Dr. Holló Sándor Ferenc,337,0.82 %,Dombóvár,FKGP
Dr. Kretz István József,1966,4.81 %,Dombóvár,LMP
Sárdi Csaba László,468,1.14 %,Dombóvár,MOMENTUM
Potápi Árpád János,23910,58.45 %,Dombóvár,FIDESZ-KDNP
Papp Felícia,93,0.23 %,Dombóvár,SZEM PÁRT
Sárközi Szabina,101,0.25 %,Dombóvár,MISZEP
Király István,21,0.05 %,Dombóvár,EU.ROM
Molnár Zsuzsanna,72,0.18 %,Dombóvár,ÖSSZEFOGÁS PÁRT
Fenyvesi Csaba Zsolt,10127,24.76 %,Dombóvár,JOBBIK
Gecséné Dr. Slárku Szilvia,3468,8.48 %,Dombóvár,DK
Huszár Emese Katalin,202,0.49 %,Dombóvár,CSP
Győri Lajos,41,0.1 %,Dombóvár,MCP
Szécsi Cintia,22,0.04 %,Vásárosnamény,EP
Áncsán Márton,241,0.48 %,Vásárosnamény,MOMENTUM
Dr. Tilki Attila,29865,59.75 %,Vásárosnamény,FIDESZ-KDNP
